Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S206408775,Yellow-legged Gull,Larus michahellis,6552,X,ES-AS,,L38818119,camino san pedro,43.4246281,-4.7586305,2024-12-24,,eBird - Casual Observation,,0,,,1
S327522130,Gull-billed Tern,Gelochelidon nilotica,6710,X,ES-AN,Sevilla,L63966520,milieu des champs bec,37.3447227,-5.2145982,2026-04-26,,eBird - Casual Observation,,0,,,1
S328553199,Caspian Tern,Hydroprogne caspia,6718,X,ES-AN,Sevilla,L64168657,"bec bien rouge, jamais fini",37.0772514,-6.3842163,2026-04-27,,eBird - Casual Observation,,0,,,1
S267746526,Whiskered Tern,Chlidonias hybrida,6720,X,FR-GES,Marne,L51633847,avec Vince matin,48.5706297,4.6885865,2025-08-17,,eBird - Casual Observation,,0,,,1
S250274954,Common Tern,Sterna hirundo,6748,X,NL-ZE,,L47598253,balade mer colocs,51.395977,3.561393,2025-06-14,,eBird - Casual Observation,,0,,,1
S250265739,Sandwich Tern,Thalasseus sandvicensis,6775,X,NL-ZE,,L47598253,balade mer colocs,51.395977,3.561393,2025-06-14,,eBird - Casual Observation,,0,,,1
S265992435,Greater Flamingo,Phoenicopterus roseus,6811,X,FR-PAC,Bouches-du-Rhône,L51236276,ils ont perdu un truc dans l'eau je crois,43.4188166,5.1752402,2025-08-09,,eBird - Casual Observation,,0,,,1
S265842436,Little Grebe,Tachybaptus ruficollis,6827,X,FR-PAC,Bouches-du-Rhône,L51199334,bassin Aix après avoir déposé Hannah,43.4623184,5.3381929,2025-08-08,,eBird - Casual Observation,,0,,,1
S271693345,Little Grebe,Tachybaptus ruficollis,6827,X,BE-WAL,Hainaut,L52482811,Levé du soleil avec H toute petite bien obs.,50.462855,3.6931416,2025-09-06,,eBird - Casual Observation,,0,,,1
S271696464,Little Grebe,Tachybaptus ruficollis,6827,X,BE-WAL,Hainaut,L52482811,Levé du soleil avec H toute petite bien obs.,50.462855,3.6931416,2025-09-06,,eBird - Casual Observation,,0,,,1
S265577129,Great Crested Grebe,Podiceps cristatus,6872,X,IT-34,,L51142022,post membrain avec Hannah,45.542984,10.7223816,2025-08-07,,eBird - Casual Observation,,0,,,1
S326868307,Eared Grebe,Podiceps nigricollis,6876,X,ES-AN,Cádiz,L63828868,"Observatoire loin, longue vue pablo",36.6445523,-6.2332556,2026-04-25,,eBird - Casual Observation,,0,,,1
S326350420,Scopoli's Shearwater,Calonectris diomedea,7201,X,ES-AN,Cádiz,L63727594,bateau Tanger Aljesiras rase l'eau,36.0818844,-5.3962022,2026-04-24,,eBird - Casual Observation,,0,,,1
S327997057,Black Stork,Ciconia nigra,7283,X,ES-AN,Sevilla,L64061256,"Aznalcázar, Andalucía, ES",37.1937296,-6.2664518,2026-04-26,,eBird - Casual Observation,,0,,,1
S322353047,White Stork,Ciconia ciconia,7291,X,MA-11,,L62929701,"Marrakech, Marrakech-Safi, MA",31.6189679,-7.9853462,2026-04-16,,eBird - Casual Observation,,0,,,1
S222294892,Great Cormorant,Phalacrocorax carbo,7397,X,BE-BRU,,L41969953,étang Ixelles,50.8211509,4.376119,2025-04-01,,eBird - Casual Observation,,0,,,1
S326502251,European Shag,Gulosus aristotelis,7418,X,ES-AN,Cádiz,L63753087,1er arrêt Tic et Tac rase l'eau petit noir,36.0762655,-5.4274107,2026-04-24,,eBird - Casual Observation,,0,,,1
S326860310,Glossy Ibis,Plegadis falcinellus,7467,X,ES-AN,Cádiz,L63826949,"Aldea Rural Pago Barranco, Andalucía, ES",36.6378804,-6.2292462,2026-04-25,,eBird - Casual Observation,,0,,,1
S272118184,Eurasian Spoonbill,Platalea leucorodia,7524,X,BE-WAL,Hainaut,L52574371,Marais d'Harchies avec Daniel Debacker longue vue,50.4636061,3.6817808,2025-09-08,,eBird - Casual Observation,,0,,,1
S265967435,Eurasian Bittern,Botaurus stellaris,7556,X,FR-PAC,Bouches-du-Rhône,L51230951,réveil lendemain départ de Hannah,43.4230397,5.1977439,2025-08-09,,eBird - Casual Observation,,0,,,1
S265889686,Black-crowned Night Heron,Nycticorax nycticorax,7600,X,FR-PAC,Bouches-du-Rhône,L51211338,pique nique après départ Hannah :'-(,43.4227333,5.1981859,2025-08-08,,eBird - Casual Observation,,0,,,1
S265453586,Little Egret,Egretta garzetta,7650,X,IT-36,,L51111718,sur la route post outlet,45.822464,13.0444183,2025-08-06,,eBird - Casual Observation,,0,,,1
S328543214,Squacco Heron,Ardeola ralloides,7714,X,ES-AN,Sevilla,L64166659,bouquet final,37.2008438,-6.2537403,2026-04-27,,eBird - Casual Observation,,0,,,1
S272118383,Western Cattle-Egret,Ardea ibis,7724,X,BE-WAL,Hainaut,L52574414,"fin weekend avec H, jaune, petit patte noir",50.4604154,3.6778722,2025-09-08,,eBird - Casual Observation,,0,,,1
S267659751,Great Egret,Ardea alba,7729,X,FR-GES,Marne,L51611942,avec Vince,48.5693817,4.704206,2025-08-16,,eBird - Casual Observation,,0,,,1
